Entity,Code,Day,Daily hospital occupancy
Australia,AUS,2020-03-31,426
Australia,AUS,2020-04-01,441
Australia,AUS,2020-04-02,415
Australia,AUS,2020-04-03,457
Australia,AUS,2020-04-04,490
Australia,AUS,2020-04-05,457
Australia,AUS,2020-04-06,305
Australia,AUS,2020-04-07,263
Australia,AUS,2020-04-08,262
Australia,AUS,2020-04-09,247
Australia,AUS,2020-04-10,240
Australia,AUS,2020-04-11,239
Australia,AUS,2020-04-12,227
Australia,AUS,2020-04-13,230
Australia,AUS,2020-04-14,214
Australia,AUS,2020-04-15,201
Australia,AUS,2020-04-16,192
Australia,AUS,2020-04-17,184
Australia,AUS,2020-04-18,177
Australia,AUS,2020-04-19,170
Australia,AUS,2020-04-20,167
Australia,AUS,2020-04-21,161
Australia,AUS,2020-04-22,152
Australia,AUS,2020-04-23,138
Australia,AUS,2020-04-24,129
Australia,AUS,2020-04-25,115
Australia,AUS,2020-04-26,113
Australia,AUS,2020-04-27,109
Australia,AUS,2020-04-28,93
Australia,AUS,2020-04-29,89
Australia,AUS,2020-04-30,83
Australia,AUS,2020-05-01,79
Australia,AUS,2020-05-02,75
Australia,AUS,2020-05-03,70
Australia,AUS,2020-05-04,66
Australia,AUS,2020-05-05,62
Australia,AUS,2020-05-06,58
Australia,AUS,2020-05-07,56
Australia,AUS,2020-05-08,51
Australia,AUS,2020-05-09,43
Australia,AUS,2020-05-10,49
Australia,AUS,2020-05-11,47
Australia,AUS,2020-05-12,50
Australia,AUS,2020-05-13,51
Australia,AUS,2020-05-14,46
Australia,AUS,2020-05-15,49
Australia,AUS,2020-05-16,50
Australia,AUS,2020-05-17,45
Australia,AUS,2020-05-18,47
Australia,AUS,2020-05-19,43
Australia,AUS,2020-05-20,41
Australia,AUS,2020-05-21,39
Australia,AUS,2020-05-22,35
Australia,AUS,2020-05-23,33
Australia,AUS,2020-05-24,31
Australia,AUS,2020-05-25,30
Australia,AUS,2020-05-26,30
Australia,AUS,2020-05-27,29
Australia,AUS,2020-05-28,23
Australia,AUS,2020-05-29,22
Australia,AUS,2020-05-30,20
Australia,AUS,2020-05-31,20
Australia,AUS,2020-06-01,26
Australia,AUS,2020-06-02,25
Australia,AUS,2020-06-03,22
Australia,AUS,2020-06-04,21
Australia,AUS,2020-06-05,21
Australia,AUS,2020-06-06,18
Australia,AUS,2020-06-07,19
Australia,AUS,2020-06-08,18
Australia,AUS,2020-06-09,20
Australia,AUS,2020-06-10,18
Australia,AUS,2020-06-11,17
Australia,AUS,2020-06-12,16
Australia,AUS,2020-06-13,16
Australia,AUS,2020-06-14,17
Australia,AUS,2020-06-15,17
Australia,AUS,2020-06-16,16
Australia,AUS,2020-06-17,14
Australia,AUS,2020-06-18,15
Australia,AUS,2020-06-19,17
Australia,AUS,2020-06-20,16
Australia,AUS,2020-06-21,18
Australia,AUS,2020-06-22,19
Australia,AUS,2020-06-23,16
Australia,AUS,2020-06-24,16
Australia,AUS,2020-06-25,12
Australia,AUS,2020-06-26,12
Australia,AUS,2020-06-27,11
Australia,AUS,2020-06-28,15
Australia,AUS,2020-06-29,14
Australia,AUS,2020-06-30,18
Australia,AUS,2020-07-01,24
Australia,AUS,2020-07-02,27
Australia,AUS,2020-07-03,29
Australia,AUS,2020-07-04,30
Australia,AUS,2020-07-05,34
Australia,AUS,2020-07-06,39
Australia,AUS,2020-07-07,46
Australia,AUS,2020-07-08,45
Australia,AUS,2020-07-09,54
Australia,AUS,2020-07-10,55
Australia,AUS,2020-07-11,67
Australia,AUS,2020-07-12,92
Australia,AUS,2020-07-13,90
Australia,AUS,2020-07-14,111
Australia,AUS,2020-07-15,114
Australia,AUS,2020-07-16,126
Australia,AUS,2020-07-17,115
Australia,AUS,2020-07-18,135
Australia,AUS,2020-07-19,156
Australia,AUS,2020-07-20,182
Australia,AUS,2020-07-21,214
Australia,AUS,2020-07-22,211
Australia,AUS,2020-07-23,217
Australia,AUS,2020-07-24,239
Australia,AUS,2020-07-25,241
Australia,AUS,2020-07-26,259
Australia,AUS,2020-07-27,275
Australia,AUS,2020-07-28,323
Australia,AUS,2020-07-29,330
Australia,AUS,2020-07-30,366
Australia,AUS,2020-07-31,401
Australia,AUS,2020-08-01,408
