Travel Modes,Trip Characteristics,Region,Year,Average Trip Per Day,Average Trip Per Year
Total,Sunday,The Netherlands,2018,2.06,107.0
Total,Sunday,The Netherlands,2019,1.94,101.0
Total,Sunday,The Netherlands,2020,1.64,85.0
Total,Sunday,The Netherlands,2021,1.83,95.0
Total,Sunday,Noord-Nederland (LD),2018,1.97,103.0
Total,Sunday,Noord-Nederland (LD),2019,1.82,95.0
Total,Sunday,Noord-Nederland (LD),2020,1.53,79.0
Total,Sunday,Noord-Nederland (LD),2021,1.75,91.0
Total,Sunday,Oost-Nederland (LD),2018,2.07,108.0
Total,Sunday,Oost-Nederland (LD),2019,1.98,103.0
Total,Sunday,Oost-Nederland (LD),2020,1.64,85.0
Total,Sunday,Oost-Nederland (LD),2021,1.81,94.0
Total,Sunday,West-Nederland (LD),2018,2.06,107.0
Total,Sunday,West-Nederland (LD),2019,1.92,100.0
Total,Sunday,West-Nederland (LD),2020,1.58,82.0
Total,Sunday,West-Nederland (LD),2021,1.79,93.0
Total,Sunday,Zuid-Nederland (LD),2018,2.11,109.0
Total,Sunday,Zuid-Nederland (LD),2019,2.01,105.0
Total,Sunday,Zuid-Nederland (LD),2020,1.81,94.0
Total,Sunday,Zuid-Nederland (LD),2021,1.97,103.0
Total,Sunday,Groningen (PV),2018,2.09,109.0
Total,Sunday,Groningen (PV),2019,1.81,94.0
Total,Sunday,Groningen (PV),2020,1.48,77.0
Total,Sunday,Groningen (PV),2021,1.61,84.0
Total,Sunday,Fryslân (PV),2018,1.87,97.0
Total,Sunday,Fryslân (PV),2019,1.76,92.0
Total,Sunday,Fryslân (PV),2020,1.68,87.0
Total,Sunday,Fryslân (PV),2021,1.74,91.0
Total,Sunday,Drenthe (PV),2018,1.96,102.0
Total,Sunday,Drenthe (PV),2019,1.9,99.0
Total,Sunday,Drenthe (PV),2020,1.38,72.0
Total,Sunday,Drenthe (PV),2021,1.93,100.0
Total,Sunday,Overijssel (PV),2018,2.17,113.0
Total,Sunday,Overijssel (PV),2019,1.96,102.0
Total,Sunday,Overijssel (PV),2020,1.68,87.0
Total,Sunday,Overijssel (PV),2021,1.8,94.0
Total,Sunday,Flevoland (PV),2018,1.67,87.0
Total,Sunday,Flevoland (PV),2019,1.88,98.0
Total,Sunday,Flevoland (PV),2020,1.7,88.0
Total,Sunday,Flevoland (PV),2021,1.52,79.0
Total,Sunday,Gelderland (PV),2018,2.09,109.0
Total,Sunday,Gelderland (PV),2019,2.01,104.0
Total,Sunday,Gelderland (PV),2020,1.61,84.0
Total,Sunday,Gelderland (PV),2021,1.87,97.0
Total,Sunday,Utrecht (PV),2018,2.18,113.0
Total,Sunday,Utrecht (PV),2019,1.96,102.0
Total,Sunday,Utrecht (PV),2020,1.65,86.0
