"ID";"ModesOfTravel";"Population";"TripCharacteristics";"Margins";"RegionCharacteristics";"Periods";"Trips_1";"Trips_4"
"3960";"T001093";"A048710";"2031090";"MW00000";"NL01    ";"2018JJ00";"2.06";"107"
"3961";"T001093";"A048710";"2031090";"MW00000";"NL01    ";"2019JJ00";"1.94";"101"
"3962";"T001093";"A048710";"2031090";"MW00000";"NL01    ";"2020JJ00";"1.64";"85"
"3963";"T001093";"A048710";"2031090";"MW00000";"NL01    ";"2021JJ00";"1.83";"95"
"3964";"T001093";"A048710";"2031090";"MW00000";"LD01    ";"2018JJ00";"1.97";"103"
"3965";"T001093";"A048710";"2031090";"MW00000";"LD01    ";"2019JJ00";"1.82";"95"
"3966";"T001093";"A048710";"2031090";"MW00000";"LD01    ";"2020JJ00";"1.53";"79"
"3967";"T001093";"A048710";"2031090";"MW00000";"LD01    ";"2021JJ00";"1.75";"91"
"3968";"T001093";"A048710";"2031090";"MW00000";"LD02    ";"2018JJ00";"2.07";"108"
"3969";"T001093";"A048710";"2031090";"MW00000";"LD02    ";"2019JJ00";"1.98";"103"
"3970";"T001093";"A048710";"2031090";"MW00000";"LD02    ";"2020JJ00";"1.64";"85"
"3971";"T001093";"A048710";"2031090";"MW00000";"LD02    ";"2021JJ00";"1.81";"94"
"3972";"T001093";"A048710";"2031090";"MW00000";"LD03    ";"2018JJ00";"2.06";"107"
"3973";"T001093";"A048710";"2031090";"MW00000";"LD03    ";"2019JJ00";"1.92";"100"
"3974";"T001093";"A048710";"2031090";"MW00000";"LD03    ";"2020JJ00";"1.58";"82"
"3975";"T001093";"A048710";"2031090";"MW00000";"LD03    ";"2021JJ00";"1.79";"93"
"3976";"T001093";"A048710";"2031090";"MW00000";"LD04    ";"2018JJ00";"2.11";"109"
"3977";"T001093";"A048710";"2031090";"MW00000";"LD04    ";"2019JJ00";"2.01";"105"
"3978";"T001093";"A048710";"2031090";"MW00000";"LD04    ";"2020JJ00";"1.81";"94"
"3979";"T001093";"A048710";"2031090";"MW00000";"LD04    ";"2021JJ00";"1.97";"103"
"3980";"T001093";"A048710";"2031090";"MW00000";"PV20    ";"2018JJ00";"2.09";"109"
"3981";"T001093";"A048710";"2031090";"MW00000";"PV20    ";"2019JJ00";"1.81";"94"
"3982";"T001093";"A048710";"2031090";"MW00000";"PV20    ";"2020JJ00";"1.48";"77"
"3983";"T001093";"A048710";"2031090";"MW00000";"PV20    ";"2021JJ00";"1.61";"84"
"3984";"T001093";"A048710";"2031090";"MW00000";"PV21    ";"2018JJ00";"1.87";"97"
"3985";"T001093";"A048710";"2031090";"MW00000";"PV21    ";"2019JJ00";"1.76";"92"
"3986";"T001093";"A048710";"2031090";"MW00000";"PV21    ";"2020JJ00";"1.68";"87"
"3987";"T001093";"A048710";"2031090";"MW00000";"PV21    ";"2021JJ00";"1.74";"91"
"3988";"T001093";"A048710";"2031090";"MW00000";"PV22    ";"2018JJ00";"1.96";"102"
"3989";"T001093";"A048710";"2031090";"MW00000";"PV22    ";"2019JJ00";"1.9";"99"
"3990";"T001093";"A048710";"2031090";"MW00000";"PV22    ";"2020JJ00";"1.38";"72"
"3991";"T001093";"A048710";"2031090";"MW00000";"PV22    ";"2021JJ00";"1.93";"100"
"3992";"T001093";"A048710";"2031090";"MW00000";"PV23    ";"2018JJ00";"2.17";"113"
"3993";"T001093";"A048710";"2031090";"MW00000";"PV23    ";"2019JJ00";"1.96";"102"
"3994";"T001093";"A048710";"2031090";"MW00000";"PV23    ";"2020JJ00";"1.68";"87"
